Semana epidem. notificação;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;RJ;SP;PR;SC;RS;MS;MT;GO;DF
Semana 01;397.0;58.0;100.0;1;74.0;2.0;32.0;42.0;35.0;89.0;73.0;61.0;21.0;35.0;23.0;334.0;1153.0;116.0;1193.0;243.0;22.0;4.0;294.0;244.0;825.0;380.0
Semana 02;646.0;123.0;175.0;-;147.0;10.0;47.0;60.0;44.0;116.0;81.0;75.0;57.0;54.0;36.0;687.0;2698.0;216.0;2491.0;398.0;41.0;12.0;552.0;494.0;1283.0;642.0
Semana 03;759.0;127.0;199.0;-;162.0;18.0;86.0;88.0;65.0;141.0;121.0;99.0;73.0;63.0;36.0;800.0;3723.0;289.0;2942.0;477.0;70.0;17.0;608.0;602.0;1572.0;713.0
Semana 04;751.0;182.0;208.0;4;199.0;19.0;146.0;85.0;97.0;178.0;119.0;110.0;92.0;38.0;41.0;989.0;4731.0;411.0;4230.0;657.0;93.0;24.0;702.0;603.0;1620.0;740.0
Semana 05;649.0;168.0;195.0;5;238.0;29.0;113.0;118.0;97.0;228.0;121.0;120.0;87.0;70.0;66.0;1120.0;6692.0;472.0;5433.0;823.0;228.0;20.0;1000.0;709.0;1742.0;754.0
Semana 06;660.0;199.0;300.0;2;225.0;15.0;105.0;176.0;159.0;270.0;132.0;130.0;106.0;67.0;75.0;1318.0;9315.0;743.0;7145.0;1196.0;400.0;82.0;1206.0;954.0;1956.0;874.0
Semana 07;659.0;220.0;238.0;3;238.0;19.0;110.0;171.0;155.0;246.0;123.0;108.0;111.0;56.0;60.0;1277.0;11344.0;756.0;9552.0;2176.0;541.0;115.0;1621.0;1072.0;1966.0;849.0
Semana 08;512.0;189.0;126.0;2;156.0;9.0;91.0;150.0;166.0;243.0;97.0;136.0;91.0;39.0;32.0;1080.0;9857.0;548.0;8844.0;2171.0;562.0;134.0;1583.0;817.0;1579.0;833.0
Semana 09;618.0;229.0;167.0;2;179.0;20.0;139.0;212.0;237.0;428.0;144.0;136.0;196.0;64.0;58.0;1224.0;15022.0;998.0;12052.0;3513.0;1035.0;220.0;1921.0;985.0;2014.0;843.0
Semana 10;622.0;228.0;145.0;-;188.0;17.0;112.0;332.0;294.0;486.0;152.0;178.0;175.0;70.0;61.0;1338.0;17844.0;1174.0;15628.0;5239.0;1847.0;392.0;2410.0;1076.0;2193.0;982.0
Semana 11;607.0;301.0;160.0;1;237.0;13.0;114.0;323.0;287.0;532.0;128.0;219.0;323.0;80.0;60.0;1365.0;19858.0;1243.0;17925.0;7163.0;3185.0;692.0;2640.0;1013.0;2214.0;878.0
Semana 12;380.0;228.0;89.0;-;247.0;27.0;141.0;256.0;386.0;544.0;185.0;253.0;333.0;107.0;81.0;1317.0;23218.0;1666.0;21009.0;10084.0;5278.0;1218.0;2608.0;1137.0;2472.0;1059.0
Semana 13;370.0;218.0;135.0;2;247.0;18.0;174.0;318.0;424.0;611.0;264.0;273.0;418.0;117.0;70.0;1327.0;24789.0;2121.0;24298.0;14101.0;8752.0;1849.0;3157.0;1384.0;3035.0;1139.0
Semana 14;293.0;168.0;96.0;1;172.0;7.0;155.0;167.0;338.0;472.0;291.0;316.0;310.0;113.0;55.0;1018.0;21858.0;1721.0;22531.0;14136.0;10000.0;2219.0;2840.0;1102.0;2307.0;944.0
Semana 15;292.0;186.0;127.0;2;182.0;17.0;180.0;214.0;379.0;491.0;491.0;435.0;347.0;179.0;83.0;1343.0;27583.0;2152.0;26898.0;19822.0;13378.0;3027.0;3179.0;1462.0;2478.0;1050.0
Semana 16;293.0;206.0;105.0;2;142.0;5.0;143.0;161.0;377.0;448.0;443.0;320.0;254.0;128.0;69.0;1389.0;24368.0;1665.0;21567.0;17428.0;11628.0;3510.0;2790.0;1256.0;2469.0;1158.0
Semana 17;228.0;160.0;190.0;1;151.0;27.0;174.0;196.0;395.0;518.0;438.0;271.0;264.0;180.0;59.0;1499.0;24893.0;1938.0;21958.0;17004.0;13522.0;3647.0;2437.0;1437.0;2582.0;1007.0
Semana 18;179.0;129.0;121.0;3;134.0;14.0;138.0;129.0;324.0;528.0;271.0;243.0;178.0;150.0;69.0;1325.0;19578.0;1670.0;17428.0;14615.0;11448.0;3265.0;2191.0;1210.0;2262.0;1025.0
Semana 19;185.0;124.0;132.0;4;115.0;12.0;102.0;130.0;349.0;715.0;315.0;254.0;181.0;142.0;74.0;1522.0;20496.0;1880.0;17559.0;14749.0;11289.0;3323.0;2182.0;1122.0;2323.0;994.0
Semana 20;113.0;91.0;127.0;1;106.0;7.0;112.0;114.0;345.0;596.0;260.0;239.0;173.0;104.0;70.0;1569.0;17162.0;1933.0;15118.0;13006.0;10677.0;3148.0;1920.0;1081.0;2105.0;1068.0
Semana 21;112.0;91.0;102.0;2;129.0;7.0;115.0;124.0;331.0;629.0;234.0;196.0;160.0;122.0;73.0;1269.0;12994.0;1606.0;10653.0;8784.0;8015.0;2624.0;1416.0;893.0;1880.0;805.0
Semana 22;87.0;76.0;76.0;1;108.0;10.0;86.0;103.0;263.0;566.0;220.0;227.0;164.0;133.0;66.0;1376.0;8799.0;1384.0;6664.0;6083.0;5953.0;2214.0;1043.0;769.0;1421.0;745.0
